code,name,region,days,revenue,volume,visits,vol_ok,avg_invoice,lpv,diesel_vol,g95_vol,g91_vol,pay_unknown,pay_cash,pay_card,pay_fleet,night_vis,peak_hour,jan_lpd,jul_lpd
MK084,الكر النازل,مكة,212,8447420.51,3837524.11,121506,1,69.52,31.583,491227.4,1567447.4,1778849.3,2610.6,3525672.67,4144454.83,774034.04,73069,19,18409.3,24517.6
MK006,جنوب الطائف,الطائف,88,8283038.89,3651542.62,145545,1,56.91,25.089,0,1616763.0,2034779.6,4340.06,2781141.53,4931881.67,565675.63,70900,17,,50695.2
MK023,بن درويش,مكة,212,7567441.05,3354025.19,167582,1,45.16,20.014,0,1483624.5,1870400.7,7502839.75,20181.29,38011.07,6408.94,91979,21,16959.1,13827.6
MK008,الحسينية,مكة,101,7363845.41,3275501.09,171470,1,42.95,19.102,0,1271696.3,2003804.8,2915.85,4600781.38,2421719.1,338429.08,92044,20,,33698.1
JA061,طريق صبيا,جازان,197,7336072.51,3618769.82,106051,1,69.17,34.123,1561325.9,988403.5,1069040.4,7336072.51,0,0,0,48510,17,20398.5,
EP051,كورنيش الخبر,الشرقية,212,7286815.45,3310769.46,128201,1,56.84,25.825,296886.7,1235157.6,1778725.2,1545.47,1627599.66,1920361.38,3736246.07,64215,17,12006.2,17776.6
QS055,الدائري الشرقي,القصيم,212,7054473.42,3479286.33,93238,1,75.66,37.316,1588512.5,778789.0,1111984.9,1372.48,2396635.23,3849592.85,806622.86,50128,17,16860.0,17369.0
JA053,خبت نخلان,جازان,212,6813042.63,3168406.79,138423,1,49.22,22.889,737137.6,1290353.9,1140915.3,71.93,3180561.37,2950636.15,681339.18,70750,21,17016.4,16693.1
MK093,الملك خالد,الطائف,181,6303626.0,2840016.64,123946,1,50.86,22.913,269503.5,1033822.3,1536690.9,1477.61,1605492.54,3362285.86,1334369.99,63982,17,13933.8,
MK018,الرصيفة المسار,مكة,123,6226942.09,2895735.11,130746,1,47.63,22.148,606554.2,813905.3,1475275.6,1924.62,3863482.05,1532537.43,828977.99,65952,22,,24776.4
MK031,بطحاء قريش 2,مكة,196,6134127.33,2888142.35,113878,1,53.87,25.362,801034.1,812114.1,1274994.1,6134127.33,0,0,0,59044,17,16376.6,
RY042,الناصفة,الخرج,212,5491452.11,2566501.12,87436,1,62.81,29.353,630579.9,950206.3,985715.0,2345.0,1650007.48,3179744.05,659255.58,39710,16,10639.9,13930.8
RY024,غرناطة - طريق الملك عبدالله,الخرج,194,5146143.89,2286112.36,89966,1,57.2,25.411,0,1084488.3,1201624.1,5146143.89,0,0,0,48182,21,12178.1,
AS153,مدخل محايل,عسير,100,5024619.78,2268756.98,99800,1,50.35,22.733,301967.8,829654.4,1137134.8,3467.04,2605105.73,2350584.29,65363.72,55635,21,,25698.9
MK019,الشرايع,مكة,211,4899104.01,2163898.84,93434,1,52.43,23.16,0,1069617.2,1094281.6,4899104.01,0,0,0,52419,21,18347.4,
MK099,البيعة,الطائف,212,4492250.07,1986574.78,96663,1,46.47,20.552,44367.4,901179.2,1041028.2,1192.74,1195710.45,2135178.03,1160038.85,55310,17,7672.6,10128.4
MK100,الكوثر,جدة,212,3917479.75,1881407.78,70784,1,55.34,26.58,638014.6,437008.7,806384.4,1272.6,1412721.4,1786434.51,717051.24,35762,21,8456.5,9008.8
JA041,القسوم - أحد المسارحة,جازان,99,3909219.29,1759063.07,84777,1,46.11,20.749,130390.2,836178.8,792494.2,0.13,1599018.09,2142548.2,167652.87,42662,17,,20788.0
HA043,العريفي,حائل,197,3444063.0,1549722.91,64190,1,53.65,24.143,145120.8,506658.3,897943.8,3444063.0,0,0,0,36894,21,8777.6,
JA056,الروابي - المودة,جازان,212,3226032.37,1504042.15,60561,1,53.27,24.835,328688.0,546030.6,629323.5,1322.01,1203131.97,1712340.91,309137.48,28607,7,6255.1,7793.5
JA060,صناعية صامطة,جازان,197,2819666.08,1319106.1,80728,1,34.93,16.34,304919.5,419906.1,594280.5,2819666.08,0,0,0,38913,17,6383.4,
JA348,جنوب صبيا,جازان,57,2767864.97,1261271.55,81843,1,33.82,15.411,160144.6,538472.8,562654.2,1255.14,1458099.45,1208428.27,100082.11,46500,21,,25003.4
MK323,جبل ثور - جوهرة النسيم,مكة,87,1918370.53,848454.55,38468,1,49.87,22.056,0,402342.7,446111.8,17.17,585878.08,1292873.31,39601.97,22294,2,,9016.9
MD009,طريق السلام,المدينة المنورة,70,937221.68,446111.54,16299,1,57.5,27.37,143692.5,137173.6,165245.5,855.8,350997.52,584229.58,1138.78,9792,0,,7725.5
NJ219,المركب,نجران,37,492335.82,228144.65,10157,1,48.47,22.462,40932.6,75981.5,111230.6,1351.6,241747.25,204172.26,45064.71,4935,16,,6659.7
