الرمز,المحطة,المنطقة,النظام,عمليات المحطة,عمليات لها عامل,تغطية العامل,عدد العمّال,إيراد المحطة (ر.س),عمليات صباحية,عمليات مسائية,إيراد صباحي (ر.س),إيراد مسائي (ر.س),أيام التشغيل,إيراد/عامل (ر.س),حصة الوردية المسائية
MD009,طريق السلام,المدينة المنورة,كاش إن,16299.0,16290.0,0.9994478188845941,8.0,937221.6799999999,6472.0,9818.0,374506.97,562117.37,70.0,117078.0425,0.600152426105006
NJ219,المركب,نجران,كاش إن,10157.0,10126.0,0.996947917692232,7.0,492335.8199999999,3133.0,6993.0,156738.55,333799.43,37.0,70076.85428571429,0.6804762191910196
MK035,الجمعية الوسام,الطائف,ناتج,159896.0,864.0,0.005403512282983939,2.0,10693687.63,351.0,513.0,99747.6,323739.92,197.0,211743.76,0.764461535962146
MK002,المعيصم,مكة,كاش إن + ناتج,183284.0,2858.0,0.01559328692084415,4.0,8668260.06,872.0,1986.0,43106.48,94863.34,212.0,34492.455,0.6875658749138035
MK016,الرصيفة,مكة,ناتج,305345.0,0.0,0.0,0.0,13274969.34,0.0,0.0,0.0,0.0,195.0,,
JA061,طريق صبيا,جازان,ناتج,106051.0,0.0,0.0,0.0,7336072.51,0.0,0.0,0.0,0.0,197.0,,
JA060,صناعية صامطة,جازان,ناتج,80728.0,0.0,0.0,0.0,2819666.08,0.0,0.0,0.0,0.0,197.0,,
HA043,العريفي,حائل,ناتج,64190.0,0.0,0.0,0.0,3444063.0,0.0,0.0,0.0,0.0,197.0,,
MK001,جبل النور,مكة,ناتج,385509.0,0.0,0.0,0.0,16778524.72,0.0,0.0,0.0,0.0,208.0,,
MK022,بطحاء قريش 1,مكة,ناتج,171994.0,0.0,0.0,0.0,10976756.31,0.0,0.0,0.0,0.0,212.0,,
MK028,أحلى مساء,الطائف,ناتج,283926.0,0.0,0.0,0.0,19217443.34,0.0,0.0,0.0,0.0,197.0,,
MK063,السواط - شهار,الطائف,ناتج,233642.0,0.0,0.0,0.0,12102486.91,0.0,0.0,0.0,0.0,197.0,,
MK047,القادسية,مكة,ناتج,332733.0,0.0,0.0,0.0,19752239.36,0.0,0.0,0.0,0.0,197.0,,
MK031,بطحاء قريش 2,مكة,ناتج,113878.0,0.0,0.0,0.0,6134127.33,0.0,0.0,0.0,0.0,196.0,,
MK017,عرفات الشوقية,مكة,ناتج,269065.0,0.0,0.0,0.0,12811088.71,0.0,0.0,0.0,0.0,212.0,,
MK020,ممشى الشوقية,مكة,ناتج,288692.0,0.0,0.0,0.0,12532864.6,0.0,0.0,0.0,0.0,212.0,,
MK019,الشرايع,مكة,ناتج,93434.0,0.0,0.0,0.0,4899104.01,0.0,0.0,0.0,0.0,211.0,,
RY025,الحمرا - طريق الملك عبدالله,الخرج,ناتج,167966.0,0.0,0.0,0.0,9202045.74,0.0,0.0,0.0,0.0,194.0,,
RY024,غرناطة - طريق الملك عبدالله,الخرج,ناتج,89966.0,0.0,0.0,0.0,5146143.890000001,0.0,0.0,0.0,0.0,194.0,,
